epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.929,0.21182,3.0354,0.99754,0.73719,0.81724,0.90866,0.8984,0.19599,1.16747,0.29369,0.00332949,0.00332949,0.00332949
2,215.589,0.16397,1.27318,0.92815,0.94844,0.97289,0.99291,0.97918,0.21551,0.46505,0.32765,0.00659686,0.00659686,0.00659686
3,318.398,0.19282,1.05909,0.93641,0.96083,0.96974,0.99279,0.98854,0.18569,0.4583,0.28947,0.00979823,0.00979823,0.00979823
4,420.682,0.18655,0.9203,0.93176,0.98614,0.99124,0.99384,0.98936,0.24006,0.2913,0.33526,0.009703,0.009703,0.009703
5,523,0.15887,0.69058,0.9214,0.96755,0.96769,0.99185,0.9879,0.23625,0.32774,0.33899,0.009604,0.009604,0.009604
6,624.661,0.13956,0.57625,0.91321,0.90907,0.90814,0.94581,0.93622,0.25766,0.657,0.37144,0.009505,0.009505,0.009505
7,726.502,0.12575,0.49661,0.90854,0.98283,0.99183,0.99491,0.95961,0.31976,0.32718,0.43341,0.009406,0.009406,0.009406
8,827.035,0.11676,0.46636,0.90607,0.9893,0.99216,0.99487,0.96884,0.2919,0.32409,0.39544,0.009307,0.009307,0.009307
9,927.313,0.10787,0.42705,0.90273,0.99608,0.9971,0.99498,0.99027,0.28888,0.31588,0.39239,0.009208,0.009208,0.009208
10,1029.13,0.10382,0.40556,0.90229,0.99641,0.99388,0.99485,0.98781,0.32578,0.33706,0.5141,0.009109,0.009109,0.009109
11,1130.29,0.09853,0.37991,0.90051,0.99701,1,0.995,0.97998,0.24745,0.32158,0.35154,0.00901,0.00901,0.00901
12,1231.04,0.09456,0.36182,0.8988,0.98215,0.98671,0.99136,0.98682,0.24134,0.39348,0.34233,0.008911,0.008911,0.008911
13,1332.44,0.09155,0.3492,0.90102,0.99598,0.99904,0.99498,0.98775,0.27793,0.2964,0.38693,0.008812,0.008812,0.008812
14,1434.94,0.0878,0.3359,0.89773,0.9983,0.99956,0.995,0.99423,0.24071,0.32778,0.34478,0.008713,0.008713,0.008713
15,1536.78,0.08632,0.3259,0.8976,0.99778,0.99919,0.995,0.98625,0.288,0.28914,0.39795,0.008614,0.008614,0.008614
16,1638.04,0.08308,0.31726,0.89771,0.99739,0.99937,0.99499,0.9949,0.23267,0.35975,0.34153,0.008515,0.008515,0.008515
17,1739.62,0.08015,0.30619,0.89626,0.99552,0.99966,0.995,0.97618,0.25635,0.33746,0.36228,0.008416,0.008416,0.008416
18,1840.86,0.07957,0.30208,0.8955,0.99882,0.99972,0.995,0.99394,0.25385,0.30221,0.35966,0.008317,0.008317,0.008317
19,1941.45,0.07603,0.28867,0.89453,0.99777,0.99712,0.995,0.96946,0.29425,0.39879,0.3717,0.008218,0.008218,0.008218
20,2042.76,0.07394,0.28843,0.89512,0.9991,1,0.995,0.98414,0.2589,0.32129,0.36513,0.008119,0.008119,0.008119
21,2143.65,0.0703,0.27465,0.89414,0.99877,0.99953,0.995,0.97856,0.25329,0.32002,0.36427,0.00802,0.00802,0.00802
22,2244.94,0.07131,0.27156,0.89346,0.99897,0.99906,0.995,0.98604,0.27062,0.31782,0.37039,0.007921,0.007921,0.007921
23,2346.59,0.06935,0.26487,0.89296,0.99892,0.99976,0.995,0.96707,0.25693,0.36478,0.34541,0.007822,0.007822,0.007822
24,2447.66,inf,0.26091,0.89365,0.99947,1,0.995,0.99035,0.23837,0.32073,0.33422,0.007723,0.007723,0.007723
25,2549.69,0.06804,0.25683,0.89206,0.99884,0.99969,0.995,0.98936,0.27288,0.32727,0.40614,0.007624,0.007624,0.007624
