epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.902,0.77615,1.62767,1.57054,0.97492,0.97792,0.99157,0.89691,0.51887,0.44692,0.65822,0.00332949,0.00332949,0.00332949
2,230.687,0.44122,0.81153,1.18544,0.99475,0.99287,0.99446,0.93777,0.4266,0.36899,0.5447,0.0065309,0.0065309,0.0065309
3,324.366,0.40796,0.76606,1.14893,0.98019,0.99115,0.99451,0.93091,0.36108,0.39718,0.48053,0.00960031,0.00960031,0.00960031
4,417.473,0.39156,0.75035,1.12706,0.98411,0.99204,0.99362,0.90892,0.44812,0.38544,0.52981,0.009406,0.009406,0.009406
5,510.068,0.36196,0.69829,1.10088,0.99192,0.99417,0.99467,0.97572,0.29214,0.37617,0.40077,0.009208,0.009208,0.009208
6,603.007,0.33526,0.65755,1.07618,0.99647,0.99672,0.99489,0.9743,0.31485,0.26662,0.45794,0.00901,0.00901,0.00901
7,696.13,0.32074,0.63214,1.0644,0.99457,0.99722,0.99484,0.96371,0.2925,0.32024,0.41686,0.008812,0.008812,0.008812
8,789.83,0.31295,0.61806,1.05794,0.98654,0.99828,0.995,0.99053,0.29312,0.28721,0.42564,0.008614,0.008614,0.008614
9,885.917,0.30438,0.59252,1.05216,0.99248,0.99897,0.99487,0.97511,0.31101,0.26434,0.45493,0.008416,0.008416,0.008416
10,1014.34,0.29572,0.57868,1.04337,0.99603,0.99701,0.99486,0.97235,0.31852,0.29456,0.45472,0.008218,0.008218,0.008218
11,1121.94,0.28185,0.55388,1.03304,0.99655,0.99904,0.99473,0.99079,0.27472,0.27906,0.41167,0.00802,0.00802,0.00802
12,1217.7,0.27804,0.54108,1.02991,0.99727,0.99821,0.995,0.98107,0.32388,0.26616,0.46617,0.007822,0.007822,0.007822
13,1322.81,0.2742,0.53671,1.03017,0.99785,0.99931,0.99498,0.98712,0.30844,0.26625,0.44489,0.007624,0.007624,0.007624
14,1418.46,0.2664,0.51718,1.02372,0.99481,0.9979,0.99482,0.96785,0.35379,0.29928,0.47668,0.007426,0.007426,0.007426
15,1512,0.26695,0.50959,1.02281,0.99605,0.99887,0.99495,0.97671,0.3189,0.31532,0.44784,0.007228,0.007228,0.007228
16,1611.5,0.26125,0.50179,1.0213,0.99749,0.99964,0.99453,0.96065,0.34355,0.27119,0.47903,0.00703,0.00703,0.00703
17,1705.55,0.25704,0.50147,1.01678,0.99765,0.99927,0.9945,0.96777,0.31652,0.27266,0.4357,0.006832,0.006832,0.006832
18,1816.82,0.25241,0.48766,1.01206,0.99715,0.99925,0.995,0.94997,0.34643,0.30743,0.4829,0.006634,0.006634,0.006634
19,1917.13,0.24579,0.47336,1.00848,0.99632,0.99828,0.99495,0.97176,0.33476,0.26733,0.46277,0.006436,0.006436,0.006436
20,2034.74,0.24292,0.47183,1.00812,0.99687,0.99943,0.99496,0.99273,0.28881,0.25471,0.40673,0.006238,0.006238,0.006238
21,2195.26,0.23733,0.46117,1.00407,0.99834,0.99936,0.995,0.9884,0.29581,0.26284,0.42225,0.00604,0.00604,0.00604
22,2345.28,0.23561,0.45832,1.00189,0.99775,0.9993,0.99499,0.94901,0.31441,0.25889,0.44637,0.005842,0.005842,0.005842
23,2502,0.23004,0.4502,0.99829,0.99739,0.99967,0.995,0.97658,0.31815,0.28011,0.4413,0.005644,0.005644,0.005644
24,2658.09,0.22509,0.44411,0.99512,0.99825,0.99967,0.99499,0.98172,0.26957,0.29311,0.38476,0.005446,0.005446,0.005446
25,2815.07,0.22546,0.4364,0.99438,0.99792,0.99966,0.995,0.95865,0.29942,0.31896,0.41953,0.005248,0.005248,0.005248
26,2971.52,0.22241,0.43445,0.99374,0.99795,0.99966,0.99498,0.97459,0.31867,0.29181,0.49869,0.00505,0.00505,0.00505
27,3164.54,0.21723,0.42096,0.99007,0.99793,0.99947,0.99499,0.98674,0.23937,0.2895,0.35787,0.004852,0.004852,0.004852
