epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5317,2.93385,6.3488,4.23873,0.52684,0.12368,0.11463,0.03066,2.98002,5.64427,4.61094,8.42105e-05,8.42105e-05,8.42105e-05
2,90.7892,2.56511,5.17301,2.89179,0.90805,0.10828,0.17292,0.06014,2.58287,4.52428,3.28064,0.000167865,0.000167865,0.000167865
3,132.09,2.22622,4.12312,2.49792,0.87166,0.19346,0.22365,0.10179,2.2789,3.62228,3.03053,0.000249831,0.000249831,0.000249831
4,173.056,1.86199,3.64903,2.21684,0.90433,0.20414,0.22667,0.11864,1.9244,3.29984,2.55195,0.000248397,0.000248397,0.000248397
5,213.856,1.66355,3.35657,2.01491,0.88382,0.22015,0.25297,0.16731,1.71302,3.1157,2.25111,0.000245862,0.000245862,0.000245862
6,254.661,1.53789,3.20471,1.86322,0.89346,0.23872,0.26379,0.18634,1.50393,3.00098,2.05811,0.000243328,0.000243328,0.000243328
7,295.634,1.43867,3.05845,1.74521,0.86375,0.25036,0.28127,0.21632,1.35827,2.87583,1.90791,0.000240794,0.000240794,0.000240794
8,336.439,1.34317,2.97748,1.66567,0.82455,0.26407,0.28969,0.21904,1.2405,2.86117,1.76233,0.000238259,0.000238259,0.000238259
9,377.238,1.25841,2.89922,1.57136,0.92355,0.25882,0.29328,0.23435,1.16603,2.77617,1.69953,0.000235725,0.000235725,0.000235725
10,417.584,1.2554,2.93236,1.53784,0.92758,0.26191,0.30059,0.23463,1.10173,2.72092,1.60258,0.00023319,0.00023319,0.00023319
11,457.711,1.17729,2.76595,1.4863,0.89216,0.27461,0.3023,0.2452,1.02347,2.68014,1.53742,0.000230656,0.000230656,0.000230656
12,497.723,1.16831,2.78239,1.46857,0.912,0.27094,0.30076,0.23625,1.04803,2.67952,1.53596,0.000228122,0.000228122,0.000228122
13,537.691,1.13064,2.68307,1.44014,0.93085,0.27442,0.30874,0.24203,1.02706,2.63618,1.52167,0.000225587,0.000225587,0.000225587
14,577.559,1.08011,2.67064,1.38534,0.85246,0.28824,0.31109,0.25508,0.95182,2.59916,1.46031,0.000223053,0.000223053,0.000223053
15,617.492,1.04812,2.61286,1.3718,0.95826,0.27404,0.31325,0.25514,1.00009,2.56111,1.50355,0.000220518,0.000220518,0.000220518
16,657.334,1.0496,2.54103,1.36587,0.85318,0.2896,0.31665,0.26178,0.95682,2.53951,1.45519,0.000217984,0.000217984,0.000217984
17,697.485,1.01906,2.55516,1.3486,0.90384,0.28823,0.3151,0.25701,0.8969,2.52977,1.42066,0.00021545,0.00021545,0.00021545
18,737.721,0.99958,2.58779,1.32069,0.91504,0.29029,0.3212,0.25402,0.91111,2.50989,1.44099,0.000212915,0.000212915,0.000212915
19,778.596,0.98605,2.45146,1.32628,0.95123,0.28844,0.32188,0.26144,0.89749,2.46397,1.42558,0.000210381,0.000210381,0.000210381
20,819.737,0.98731,2.58043,1.30782,0.89866,0.29116,0.31859,0.26327,0.86355,2.44728,1.39213,0.000207846,0.000207846,0.000207846
